2025-10-11T16:38:27.000000000Z [inf]  Starting Container
2025-10-11T16:38:29.204129756Z [inf]  date        7d%  25d%  pos  equity   buy&hold
2025-10-11T16:38:31.474661312Z [inf]  2024-10-23    4.1    5.2    1   1958.07   1438.14
2025-10-11T16:38:31.484128284Z [inf]  2024-10-24    3.1    6.9    1   1958.07   1426.13
2025-10-11T16:38:31.494526368Z [inf]  2024-10-25    2.0    7.6    1   1958.07   1405.66
2025-10-11T16:38:31.506375024Z [inf]  2024-10-26    0.5    7.6    1   1958.07   1383.84
2025-10-11T16:38:31.519220992Z [inf]  2024-10-27    0.1    4.8    1   1958.07   1433.76
2025-10-11T16:38:31.528081131Z [inf]  2024-10-28    1.2    4.4    1   1958.07   1468.14
2025-10-11T16:38:31.537103261Z [inf]  2024-10-29   -0.6    4.2    0   2086.06   1496.38
2025-10-11T16:38:31.548524664Z [inf]  2024-10-30    0.1    4.7    1   2086.06   1502.39
2025-10-11T16:38:31.559708335Z [inf]  2024-10-31   -0.4    5.1    0   2094.44   1505.91
2025-10-11T16:38:31.568828824Z [inf]  2024-11-01    0.5    5.4    1   2094.44   1511.37
2025-10-11T16:38:31.578010245Z [inf]  2024-11-02   -0.5    5.8    0   2102.04   1505.69
2025-10-11T16:38:31.591256480Z [inf]  2024-11-03   -1.4    6.2    0   2102.04   1527.63
2025-10-11T16:38:31.600890081Z [inf]  2024-11-04    0.4    5.8    1   2102.04   1501.23
2025-10-11T16:38:31.609664787Z [inf]  2024-11-05    3.3    6.9    1   2102.04   1549.29
2025-10-11T16:38:31.621629163Z [inf]  2024-11-06    3.3    5.7    1   2102.04   1563.46
2025-10-11T16:38:31.633889772Z [inf]  2024-11-07    3.8    3.6    1   2102.04   1565.55
2025-10-11T16:38:31.640643494Z [inf]  2024-11-08    3.0    3.2    1   2102.04   1559.47
2025-10-11T16:38:31.652943921Z [inf]  2024-11-09    2.5    2.1    1   2102.04   1505.40
2025-10-11T16:38:31.661977561Z [inf]  2024-11-10    4.4    1.4    1   2102.04   1445.45
2025-10-11T16:38:31.672288762Z [inf]  2024-11-11    2.2    1.7    1   2102.04   1441.73
2025-10-11T16:38:31.681665893Z [inf]  2024-11-12    1.3    2.6    1   2102.04   1444.19
2025-10-11T16:38:31.692497445Z [inf]  2024-11-13    3.0    2.5    1   2102.04   1475.89
2025-10-11T16:38:31.705047532Z [inf]  2024-11-14    2.6    0.9    1   2102.04   1475.22
2025-10-11T16:38:31.715598026Z [inf]  2024-11-15    2.7    3.3    1   2102.04   1493.33
2025-10-11T16:38:31.727795902Z [inf]  2024-11-16    2.9    2.2    1   2102.04   1479.17
2025-10-11T16:38:31.736918895Z [inf]  2024-11-17    2.6    0.3    1   2102.04   1477.66
2025-10-11T16:38:31.745829979Z [inf]  2024-11-18    4.5    0.6    1   2102.04   1441.42
2025-10-11T16:38:31.754596625Z [inf]  2024-11-19    6.8    4.4    1   2102.04   1434.06
2025-10-11T16:38:31.766754185Z [inf]  2024-11-20    3.9    3.9    1   2102.04   1486.68
2025-10-11T16:38:31.779393004Z [inf]  2024-11-21    1.4    4.7    1   2102.04   1502.51
2025-10-11T16:38:31.789104509Z [inf]  2024-11-22   -1.8    4.7    0   2067.48   1494.52
2025-10-11T16:38:31.795573793Z [inf]  2024-11-23   -1.9    4.7    0   2067.48   1570.92
2025-10-11T16:38:31.806477132Z [inf]  2024-11-24   -3.0    5.0    0   2067.48   1594.46
2025-10-11T16:38:31.818352113Z [inf]  2024-11-25   -3.5    4.6    0   2067.48   1607.44
2025-10-11T16:38:31.827611750Z [inf]  2024-11-26   -7.0    3.6    0   2067.48   1602.73
2025-10-11T16:38:31.839763953Z [inf]  2024-11-27   -6.4    3.3    0   2067.48   1626.65
2025-10-11T16:38:31.848965581Z [inf]  2024-11-28   -5.6    3.3    0   2067.48   1625.46
2025-10-11T16:38:31.866060098Z [inf]  2024-11-29   -1.9    2.4    0   2067.48   1641.00
2025-10-11T16:38:31.870019990Z [inf]  2024-11-30   -2.6    3.1    0   2067.48   1601.67
2025-10-11T16:38:31.882806905Z [inf]  2024-12-01   -1.9    2.3    0   2067.48   1602.83
2025-10-11T16:38:31.891717380Z [inf]  2024-12-02    1.2    1.0    1   2067.48   1584.82
2025-10-11T16:38:31.903772152Z [inf]  2024-12-03    0.8    5.9    1   2067.48   1621.18
2025-10-11T16:38:31.910045570Z [inf]  2024-12-04    2.3    5.0    1   2067.48   1585.53
2025-10-11T16:38:31.923157087Z [inf]  2024-12-05    2.6    2.9    1   2067.48   1594.90
2025-10-11T16:38:31.935584492Z [inf]  2024-12-06    2.6    1.6    1   2067.48   1616.99
2025-10-11T16:38:31.942419333Z [inf]  2024-12-07    1.5   -0.4    0   2085.75   1663.12
2025-10-11T16:38:31.952201089Z [inf]  2024-12-08    0.4    0.6    1   2085.75   1729.06
2025-10-11T16:38:31.967935276Z [inf]  2024-12-09    3.5   -0.5    0   2168.46   1719.75
2025-10-11T16:38:31.975446383Z [inf]  2024-12-10    4.5   -2.7    0   2168.46   1670.96
2025-10-11T16:38:31.987658496Z [inf]  2024-12-11    5.7   -0.7    0   2168.46   1652.03
2025-10-11T16:38:31.994580516Z [inf]  2024-12-12   10.0    0.2    1   2168.46   1649.15
2025-10-11T16:38:32.003672886Z [inf]  2024-12-13    8.1    6.2    1   2168.46   1634.92
2025-10-11T16:38:32.021711692Z [inf]  2024-12-14    7.6    4.5    1   2168.46   1612.91
2025-10-11T16:38:32.024951299Z [inf]  2024-12-15    8.6    6.8    1   2168.46   1649.09
2025-10-11T16:38:32.037006126Z [inf]  2024-12-16    9.9   13.3    1   2168.46   1796.47
2025-10-11T16:38:32.048793970Z [inf]  2024-12-17    7.3   14.0    1   2168.46   1803.27
2025-10-11T16:38:32.056819060Z [inf]  2024-12-18    5.9   14.0    1   2168.46   1818.76
2025-10-11T16:38:32.066335476Z [inf]  2024-12-19    4.7   14.7    1   2168.46   1822.75
2025-10-11T16:38:32.084072672Z [inf]  2024-12-20    4.2   14.6    1   2168.46   1910.53
2025-10-11T16:38:32.088095301Z [inf]  2024-12-21    2.8   12.7    1   2168.46   2107.31
2025-10-11T16:38:32.098620504Z [inf]  2024-12-22    1.1   11.3    1   2168.46   2090.76
2025-10-11T16:38:32.110782671Z [inf]  2024-12-23    1.8   11.9    1   2168.46   2148.37
2025-10-11T16:38:32.119134009Z [inf]  2024-12-24    3.2   12.2    1   2168.46   2075.87
2025-10-11T16:38:32.129234445Z [inf]  2024-12-25    4.9   11.5    1   2168.46   2163.98
2025-10-11T16:38:32.145570733Z [inf]  2024-12-26    1.0   15.9    1   2168.46   2153.40
2025-10-11T16:38:32.148702193Z [inf]  2024-12-27    1.7   14.2    1   2168.46   2136.02
2025-10-11T16:38:32.161220748Z [inf]  2024-12-28    2.3   13.3    1   2168.46   2150.48
2025-10-11T16:38:32.170665072Z [inf]  2024-12-29    3.7   16.3    1   2168.46   2194.38
2025-10-11T16:38:32.188860974Z [inf]  2024-12-30    2.3   13.5    1   2168.46   2241.35
2025-10-11T16:38:32.208222646Z [inf]  2024-12-31   -0.3    9.0    0   2941.99   2337.16
2025-10-11T16:38:32.208228335Z [inf]  2025-01-01   -0.5    5.1    0   2941.99   2350.82
2025-10-11T16:38:32.211090061Z [inf]  2025-01-02    2.0    3.9    1   2941.99   2321.83
